Date : 2020-07-04 04:20:34
Directory : /Users/ankit.gautam/rhba
Total : 168 files,  20650 codes, 441 comments, 579 blanks, all 21670 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          4 |     12,064 |         52 |          1 |     12,117 |
| JavaScript       |        108 |      5,793 |        318 |        373 |      6,484 |
| JavaScript React |         28 |      1,926 |         31 |        122 |      2,079 |
| Go               |         10 |        459 |         32 |         54 |        545 |
| Properties       |          3 |        167 |          6 |          7 |        180 |
| SCSS             |          4 |         75 |          0 |          3 |         78 |
| YAML             |          4 |         71 |          0 |          0 |         71 |
| HTML             |          3 |         55 |          1 |          9 |         65 |
| XML              |          1 |         20 |          0 |          3 |         23 |
| Dockerfile       |          2 |         18 |          0 |          5 |         23 |
| Shell Script     |          1 |          2 |          1 |          2 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        168 |     20,650 |        441 |        579 |     21,670 |
| analytics-server                                                                                    |         12 |        492 |         32 |         60 |        584 |
| analytics-server/auth                                                                               |          1 |        189 |         25 |         15 |        229 |
| analytics-server/model                                                                              |          3 |         18 |          3 |          7 |         28 |
| analytics-server/routes                                                                             |          1 |         36 |          1 |          7 |         44 |
| analytics-server/utils                                                                              |          4 |        197 |          2 |         16 |        215 |
| api                                                                                                 |         22 |      1,025 |          0 |         43 |      1,068 |
| api/funnels                                                                                         |          3 |        158 |          0 |          9 |        167 |
| api/projects                                                                                        |          5 |        201 |          0 |         10 |        211 |
| api/recordings                                                                                      |          5 |        313 |          0 |         12 |        325 |
| api/recordings/settings                                                                             |          2 |        142 |          0 |          5 |        147 |
| api/recordings/tracks                                                                               |          2 |         99 |          0 |          4 |        103 |
| api/teamMembers                                                                                     |          4 |        183 |          0 |          6 |        189 |
| api/teams                                                                                           |          5 |        170 |          0 |          6 |        176 |
| embed                                                                                               |          9 |      3,217 |        289 |        125 |      3,631 |
| embed/public                                                                                        |          3 |      3,086 |        286 |        115 |      3,487 |
| embed/public/js                                                                                     |          3 |      3,086 |        286 |        115 |      3,487 |
| embed/src                                                                                           |          3 |         58 |          3 |          6 |         67 |
| pages                                                                                               |         36 |        511 |         12 |         91 |        614 |
| pages/[team]                                                                                        |         10 |         20 |          0 |         20 |         40 |
| pages/[team]/[project]                                                                              |          7 |         14 |          0 |         14 |         28 |
| pages/[team]/[project]/funnels                                                                      |          2 |          4 |          0 |          4 |          8 |
| pages/[team]/[project]/recordings                                                                   |          3 |          6 |          0 |          6 |         12 |
| pages/[team]/[project]/recordings/[recordingID]                                                     |          1 |          2 |          0 |          2 |          4 |
| pages/[team]/[project]/tracks                                                                       |          1 |          2 |          0 |          2 |          4 |
| pages/[team]/[project]/tracks/[track]                                                               |          1 |          2 |          0 |          2 |          4 |
| pages/api                                                                                           |         19 |        437 |         11 |         57 |        505 |
| pages/api/google                                                                                    |          2 |        105 |          8 |         15 |        128 |
| pages/api/static                                                                                    |          1 |         92 |          1 |          4 |         97 |
| pages/api/teams                                                                                     |         12 |        150 |          0 |         28 |        178 |
| pages/api/teams/[team]                                                                              |         11 |        140 |          0 |         27 |        167 |
| pages/api/teams/[team]/members                                                                      |          2 |         26 |          0 |          5 |         31 |
| pages/api/teams/[team]/projects                                                                     |          8 |         98 |          0 |         20 |        118 |
| pages/api/teams/[team]/projects/[project]                                                           |          7 |         85 |          0 |         18 |        103 |
| pages/api/teams/[team]/projects/[project]/funnels                                                   |          2 |         26 |          0 |          4 |         30 |
| pages/api/teams/[team]/projects/[project]/recordings                                                |          3 |         33 |          0 |          9 |         42 |
| pages/api/teams/[team]/projects/[project]/recordings/[recording]                                    |          1 |         10 |          0 |          3 |         13 |
| pages/api/teams/[team]/projects/[project]/tracks                                                    |          1 |         10 |          0 |          3 |         13 |
| pages/api/users                                                                                     |          3 |         69 |          1 |          6 |         76 |
| pages/dashboard                                                                                     |          3 |          6 |          0 |          6 |         12 |
| sass                                                                                                |          2 |         10 |          0 |          0 |         10 |
| scene                                                                                               |         36 |      2,231 |         31 |        143 |      2,405 |
| scene/comps                                                                                         |          6 |        172 |          0 |         18 |        190 |
| scene/comps/dashboardSidebar                                                                        |          1 |         23 |          0 |          3 |         26 |
| scene/comps/header                                                                                  |          2 |         74 |          0 |          5 |         79 |
| scene/comps/layout                                                                                  |          1 |         15 |          0 |          4 |         19 |
| scene/comps/sidebar                                                                                 |          2 |         60 |          0 |          6 |         66 |
| scene/dashboard                                                                                     |          6 |        426 |          3 |         24 |        453 |
| scene/dashboard/comps                                                                               |          3 |        163 |          0 |          8 |        171 |
| scene/dashboard/comps/CreateProject                                                                 |          1 |         85 |          0 |          3 |         88 |
| scene/dashboard/comps/CreateTeam                                                                    |          1 |         54 |          0 |          2 |         56 |
| scene/dashboard/comps/sidebar                                                                       |          1 |         24 |          0 |          3 |         27 |
| scene/funnels                                                                                       |          5 |        338 |          8 |         18 |        364 |
| scene/funnels/comps                                                                                 |          3 |        172 |          6 |          5 |        183 |
| scene/projects                                                                                      |          2 |         99 |          0 |         10 |        109 |
| scene/projects/comps                                                                                |          1 |         34 |          0 |          4 |         38 |
| scene/projects/comps/sidebar                                                                        |          1 |         34 |          0 |          4 |         38 |
| scene/recordings                                                                                    |          9 |        672 |         18 |         41 |        731 |
| scene/recordings/comps                                                                              |          5 |        308 |         14 |          8 |        330 |
| scene/teams                                                                                         |          8 |        524 |          2 |         32 |        558 |
| scene/teams/comps                                                                                   |          5 |        252 |          0 |         14 |        266 |
| scene/teams/comps/AddMember                                                                         |          1 |         68 |          0 |          3 |         71 |
| scene/teams/comps/DeleteTeam                                                                        |          1 |         51 |          0 |          4 |         55 |
| scene/teams/comps/ManageMember                                                                      |          1 |         49 |          0 |          2 |         51 |
| scene/teams/comps/RenameTeam                                                                        |          1 |         55 |          0 |          2 |         57 |
| scene/teams/comps/sidebar                                                                           |          1 |         29 |          0 |          3 |         32 |
| store                                                                                               |         25 |        559 |          4 |         58 |        621 |
| store/funnels                                                                                       |          5 |         79 |          1 |         11 |         91 |
| store/projects                                                                                      |          5 |         80 |          1 |         11 |         92 |
| store/recordings                                                                                    |          5 |         87 |          1 |         11 |         99 |
| store/teams                                                                                         |          5 |        252 |          0 |         14 |        266 |
| store/tracks                                                                                        |          5 |         61 |          1 |         11 |         73 |
| sysadmin                                                                                            |          4 |        181 |          6 |          7 |        194 |
| sysadmin/letsencrypt-site                                                                           |          1 |         14 |          0 |          0 |         14 |
